"sample-1" "sample-2" "sample-3" "sample-4" "sample-5" "sample-6" "sample-7" "sample-8" "sample-9" "sample-10"
"acc" 0.176557519016502 0.290928557854239 0.233216899842328 0.334943115606057 0.131254187884316 0.114261946645732 0.371702353968791 0.42743872486772 0.322445968110973 0.392247392655442
"mean" 0.365307552302918 0.368226503596953 0.0610629779252708 0 0.159310605618622 0.350140112221206 0.17887789315233 0.318553936353837 0.334711665204562 0
"globMinU-x" 0.121644898921497 0.189323627201793 0.312063506812346 0.185864469364363 0.340957189158208 0 0.235708816366997 0.0749737099107309 0.130277049110583 0.168379540112792
"Manhattan" 0.242219966364411 0.0576942770813655 0.00117737817803965 0.0623699798550841 0.266795218833073 0.0749885044828188 0.136433178558413 0 0.0893453824499929 0.274886222867495
"Euclidean" 0 0 0.176777315066254 0 0.0470274801076355 0 0 0 0 0
"dtw" 0.00921418720001058 0.0254921438261243 0.103785645904484 0.040275065077144 0 0.0340041598026935 0 0.147165563663344 0.00196634883636448 0.125194319033461
"globMaxU-y" 0 0 0.0776026833157414 0.208130129141073 0.0546553183981459 0.145894322522952 0 0.00564144657967108 0.121253586287525 0.0392925253308125
"Minkowski" 0.0850558761946624 0 0 0.116405356626804 0 0 0.0772777579534687 0 0 0
"vel" 0 0 0 0 0 0.280710954324598 0 0 0 0
"Minkowski" 0 0.0683348904395251 0 0 0 0 0 0.0262266186246967 0 0
"Hamming" 0 0 0.0343135929555373 0.0520118843294747 0 0 0 0 0 0
