"sample-1" "sample-2" "sample-3" "sample-4" "sample-5" "sample-6" "sample-7" "sample-8" "sample-9" "sample-10"
"dtw" 0.235251996803445 0.0867150836536014 0.612114510920699 0.398902007083825 0.500921181234967 0.136043912352755 0.451717167736214 0.445859828298289 0.100879073348326 0.408699151941679
"globMinU-y" 0.641994887662911 0.677554022699812 0.315575894223533 0.601097992916175 0.477451015519861 0.544012797789691 0.480612086118517 0.504162590177667 0.665879130453497 0.557976459717336
"globMin" 0 0 0 0 0 0.0578818292338427 0 0 0 0
"range" 0 0 0 0 0 0 0 0 0 0
"rangeU-y" 0 0 0 0 0.021627803245174 0 0 0 0 0
"ini-time" 0 0 0 0 0 0 0.0676707461452682 0 0.0428442109444528 0
"hovers" 0.0361068621086519 0.171247765722335 0.0138944427567687 0 0 0.157374648886951 0 0 0.0523758241673596 0
"hovers-time" 0 0 0 0 0 0 0 0 0 0
"Frechet" 0 0 0 0 0 0 0 0 0 0.0188769378395702
"Hamming" 0 0 0 0 0 0 0 0 0 0
"Hausdorff" 0.086646253424991 0.0644831279242511 0.0584151520989998 0 0 0.104686811736761 0 0.0499775815240443 0.138021761086365 0.0144474505014151
"length" 0 0 0 0 0 0 0 0 0 0
"Levenshtein" 0 0 0 0 0 0 0 0 0 0
