"sample-1" "sample-2" "sample-3" "sample-4" "sample-5" "sample-6" "sample-7" "sample-8" "sample-9" "sample-10"
"dtw" 0.240270365242257 0.189001361259073 0.190865517987481 0.206409535060058 0.16261601476349 0.132547336742178 0.247324260459667 0.0986380456084665 0.158026227864238 0.333351211629792
"globMinU-y" 0.42619774547617 0.494940280985897 0.451911855137569 0.327185290189518 0 0.645696506027605 0.0862402350888823 0.73043637400521 0.394524530531623 0.590432716066778
"globMin" 0.333531889281573 0.132137267716668 0.293895391333969 0 0.402099169208576 0.0930724424130869 0.445926008063483 0 0.143249314973252 0
"rangeU-y" 0 0 0 0.22346483145197 0.176943178480751 0 0.0879774041736906 0 0.0765394609868236 0
"range" 0 0 0 0 0.1116677174494 0 0 0 0 0.00207972344663243
"ini-time" 0 0 0 0 0 0 0 0 0 0
"Manhattan" 0 0 0 0 0 0 0 0 0 0
"Frechet" 0 0.0650659176844191 0 0.120780434280482 0.0291891826173927 0 0 0.106332287620942 0 0.0201089173244485
"dcor" 0 0 0 0 0 0 0 0 0 0
"Hausdorff" 0 0.0840400178826271 0.0614558247617433 0.0183382454149259 0 0.12868371481713 0.0627033954692878 0.0645932927653818 0.112325030818623 0.0540274315323492
"globMax" 0 0.0348151544713164 0.00187141077923761 0.103821663603045 0.117484737480391 0 0.0698286967449899 0 0.115335434825441 0
"hovers" 0 0 0 0 0 0 0 0 0 0
