"ensemble" "accuNCV"
NA NA
"1-2" 0.624253246753247
"1-2-3" 0.600649350649351
"1-2-3-4" 0.640681818181818
"1-2-3-4-5" 0.626103896103896
"1-2-3-4-5-6" 0.676948051948052
"1-2-3-4-5-6-7" 0.651525974025974
"1-2-3-4-5-6-8" 0.666006493506494
"1-2-3-4-5-6-8-9" 0.682467532467532
"1-2-3-4-5-6-8-9-10" 0.673279220779221
"1-2-3-4-5-6-8-9-10-11" 0.687792207792208
"1-2-3-4-5-6-8-9-10-12" 0.669642857142857
"1-2-3-4-5-6-8-9-10-13" 0.682435064935065
"1-2-3-4-5-6-8-9-10-14" 0.666103896103896
"1-2-3-4-5-6-8-9-10-15" 0.660584415584416
"1-2-3-4-5-6-8-9-10-16" 0.660584415584416
"1-2-3-4-5-6-8-9-10-17" 0.684155844155844
"1-2-3-4-5-6-8-9-10-18" 0.660551948051948
"1-2-3-4-5-6-8-9-10-19" 0.684188311688312
"1-2-3-4-5-6-8-9-10-20" 0.669642857142857
"1-2-3-4-5-6-8-9-10-21" 0.666071428571429
"1-2-3-4-5-6-8-9-10-22" 0.675064935064935
"1-2-3-4-5-6-8-9-10-22-23" 0.675064935064935
"1-2-3-4-5-6-8-9-10-22-24" 0.667792207792208
