"ensemble" "accuNCV" "last"
"1-2" NA NA
"1-2" 0.658873469387755 1
"1-2-3" 0.665897959183673 1
"1-2-3-4" 0.688244897959184 1
"1-2-3-4-5" 0.689914285714286 1
"1-2-3-4-5-6" 0.692514285714286 1
"1-2-3-4-5-6-7" 0.692110204081633 0
"1-2-3-4-5-6-8" 0.694955102040816 1
"1-2-3-4-5-6-8-9" 0.696975510204082 1
"1-2-3-4-5-6-8-9-10" 0.701208163265306 1
"1-2-3-4-5-6-8-9-10-11" 0.700604081632653 0
"1-2-3-4-5-6-8-9-10-12" 0.699559183673469 0
"1-2-3-4-5-6-8-9-10-13" 0.699583673469388 0
"1-2-3-4-5-6-8-9-10-14" 0.7004 0
"1-2-3-4-5-6-8-9-10-15" 0.698624489795918 0
"1-2-3-4-5-6-8-9-10-16" 0.698624489795918 0
"1-2-3-4-5-6-8-9-10-17" 0.699191836734694 0
"1-2-3-4-5-6-8-9-10-18" 0.699408163265306 0
"1-2-3-4-5-6-8-9-10-19" 0.700457142857143 0
"1-2-3-4-5-6-8-9-10-20" 0.700412244897959 0
"1-2-3-4-5-6-8-9-10-21" 0.700004081632653 0
"1-2-3-4-5-6-8-9-10-22" 0.701783673469388 1
"1-2-3-4-5-6-8-9-10-22-23" 0.701783673469388 0
"1-2-3-4-5-6-8-9-10-22-24" 0.701991836734694 1
