"ensemble" "accuNCV"
NA NA
"1-2" 0.660584415584416
"1-2-3" 0.653376623376623
"1-2-3-4" 0.65512987012987
"1-2-3-5" 0.666071428571429
"1-2-3-6" 0.665941558441558
"1-2-3-7" 0.658701298701299
"1-2-3-8" 0.671590909090909
"1-2-3-8-9" 0.666071428571429
"1-2-3-8-10" 0.666071428571429
"1-2-3-8-11" 0.684253246753247
"1-2-3-8-11-12" 0.671525974025974
"1-2-3-8-11-12-13" 0.682402597402597
"1-2-3-8-11-12-13-14" 0.67698051948052
"1-2-3-8-11-12-13-14-15" 0.689675324675325
"1-2-3-8-11-12-13-14-15-16" 0.682337662337662
"1-2-3-8-11-12-13-14-15-16-17" 0.682337662337662
"1-2-3-8-11-12-13-14-15-16-18" 0.684155844155844
