"ensemble" "accuNCV" "last"
"1-2" NA NA
"1-2" 0.678248979591837 1
"1-2-3" 0.683302040816327 1
"1-2-3-4" 0.67950612244898 0
"1-2-3-5" 0.68309387755102 0
"1-2-3-6" 0.68045306122449 0
"1-2-3-7" 0.681057142857143 0
"1-2-3-8" 0.687330612244898 1
"1-2-3-8-9" 0.687126530612245 0
"1-2-3-8-10" 0.687126530612245 0
"1-2-3-8-11" 0.687910204081633 1
"1-2-3-8-11-12" 0.689759183673469 1
"1-2-3-8-11-12-13" 0.691959183673469 1
"1-2-3-8-11-12-13-14" 0.699016326530612 1
"1-2-3-8-11-12-13-14-15" 0.701412244897959 1
"1-2-3-8-11-12-13-14-15-16" 0.702012244897959 1
"1-2-3-8-11-12-13-14-15-16-17" 0.702012244897959 0
"1-2-3-8-11-12-13-14-15-16-18" 0.701861224489796 0
