"ensemble" "accuNCV"
NA NA
"1-2" 0.602532467532467
"1-2-3" 0.604415584415584
"1-2-3-4" 0.666103896103896
"1-2-3-4-5" 0.671558441558442
"1-2-3-4-5-6" 0.666071428571429
"1-2-3-4-5-6-7" 0.666071428571429
"1-2-3-4-5-6-8" 0.686038961038961
"1-2-3-4-5-6-8-9" 0.680551948051948
"1-2-3-4-5-6-8-9-10" 0.68237012987013
"1-2-3-4-5-6-8-9-11" 0.671558441558442
"1-2-3-4-5-6-8-9-11-12" 0.678831168831169
"1-2-3-4-5-6-8-9-11-13" 0.682402597402597
"1-2-3-4-5-6-8-9-11-14" 0.664253246753247
"1-2-3-4-5-6-8-9-11-15" 0.669805194805195
"1-2-3-4-5-6-8-9-11-16" 0.680649350649351
"1-2-3-4-5-6-8-9-11-17" 0.6825
"1-2-3-4-5-6-8-9-11-17-18" 0.671590909090909
