"ensemble" "accuNCV" "last"
"1-2" NA NA
"1-2" 0.647183673469388 1
"1-2-3" 0.654840816326531 1
"1-2-3-4" 0.687865306122449 1
"1-2-3-4-5" 0.688514285714286 1
"1-2-3-4-5-6" 0.693742857142857 1
"1-2-3-4-5-6-7" 0.690097959183673 0
"1-2-3-4-5-6-8" 0.694587755102041 1
"1-2-3-4-5-6-8-9" 0.702032653061225 1
"1-2-3-4-5-6-8-9-10" 0.698583673469388 0
"1-2-3-4-5-6-8-9-11" 0.70485306122449 1
"1-2-3-4-5-6-8-9-11-12" 0.703783673469388 0
"1-2-3-4-5-6-8-9-11-13" 0.703175510204082 0
"1-2-3-4-5-6-8-9-11-14" 0.703257142857143 0
"1-2-3-4-5-6-8-9-11-15" 0.701036734693878 0
"1-2-3-4-5-6-8-9-11-16" 0.6982 0
"1-2-3-4-5-6-8-9-11-17" 0.705681632653061 1
"1-2-3-4-5-6-8-9-11-17-18" 0.697983673469388 0
