"sample-1" "sample-2" "sample-3" "sample-4" "sample-5" "sample-6" "sample-7" "sample-8" "sample-9" "sample-10"
"RT" 0.388237813771972 0.347372475945158 0.450972577291326 0.351950231454478 0.377314670009617 0 0.357903587969477 0.411470514660432 0.51238198739196 0.329390301350565
"length" 0.157255581106261 0.100321439796942 0.174566852850991 0.208501074875698 0.0938893683836714 0.382257280351557 0.1708391123716 0.181316269827416 0.141542547355854 0.268902010901774
"hovers" 0 0 0 0 0 0 0 0 0 0
"globMaxU-x" 0.246398509742375 0.105692672849706 0.121726980699378 0 0.114751391859258 0.22055159986988 0.268115391890894 0.1516200001021 0.19055937555781 0
"yflips" 0 0 0 0 0 0 0 0 0 0
"flips-bivariate" 0 0 0 0 0 0 0 0 0 0
"hovers-time" 0 0 0 0 0 0 0 0 0 0
"Hausdorff" 0 0.1582375126126 0.222571822796797 0.120152232350074 0 0.110776997747454 0.020106208878585 0 0 0.240498161842725
"Frechet" 0.101793288205613 0.121076785664057 0 0 0 0 0 0.0849204618228114 0.123159149834419 0
"globMax" 0 0 0 0 0 0 0 0.00997068016683102 0 0
"mean" 0 0 0 0 0 0 0 0 0 0
"Hausdorff" 0 0 0 0 0 0 0 0 0 0
"Frechet" 0 0 0 0 0 0 0 0 0 0
"dtw" 0.106314807173778 0 0.0301617663615075 0.120172537062393 0.174906384104929 0.126875313502917 0 0 0.0323569398599571 0.0931797284423275
"globMaxU-y" 0 0 0 0 0 0 0 0 0 0
"Euclidean" 0 0 0 0 0 0.110011509311402 0.0914618590818801 0 0 0.0680297974626073
"rangeU-y" 0 0 0 0 0 0 0 0 0 0
"globMinU-y" 0 0 0 0.00122747803758856 0 0 0 0 0 0
"globMaxU-y" 0 0 0 0.120116696898732 0.114792766532128 0 0.091573839807564 0 0 0
"range" 0 0 0 0 0 0.0495272992167904 0 0 0 0
"range" 0 0 0 0 0 0 0 0 0 0
"Manhattan" 0 0.167299113131536 0 0.0778797493210367 0.124345419110397 0 0 0.16070207342041 0 0
