"sample-1" "sample-2" "sample-3" "sample-4" "sample-5" "sample-6" "sample-7" "sample-8" "sample-9" "sample-10"
"RT" 0 0 0 0 0.154276195146936 0.0876990109174973 0.32350809481735 0.203787948952384 0.354710460891246 0.299001130038976
"globMaxU-y" 0.111257816558582 0.101784399981096 0.0928611932018214 0.0580237202979494 0.0727809516691147 0.0187668570979997 0.147982549986306 0.140974470010238 0.103011504718085 0.144718200509901
"length" 0.301400781770959 0.166066572662964 0.290637706731239 0.476242937779203 0.121409139755618 0.286423476362123 0 0.183231998716321 0.162300551450464 0.161215024702294
"globMaxU-x" 0.226711872940992 0.210815243277951 0.359447291157623 0 0.167291066497635 0.417612249998054 0.251276202836818 0.201920050075385 0.241131921043886 0
"hovers" 0.18249548169692 0.113603638122591 0 0.11037633072116 0 0 0.00345357519505439 0 0 0
"yflips" 0 0 0.129059086981732 0 0.0799727625576044 0 0.0478755462656567 0 0 0
"Hausdorff" 0 0 0 0.0892729017061995 0 0 0 0 0 0.0510736238596171
"mean" 0 0.195717418687889 0.0305962837954482 0 0.122585462604916 0.04014315621835 0 0.0437174308878636 0 0.112662053370483
"hovers-time" 0 0 0 0 0 0.00628092507916684 0 0 0 0
"globMax" 0 0 0 0 0 0 0.054010559680183 0 0 0.0910156308977766
"dcor" 0.116227905926389 0.048941364012799 0.035228992889017 0.0931153991362594 0.0826883011956431 0 0.0549489325046985 0.0984996680128366 0.0664011684955876 0.112142591918035
"globMaxU-y" 0 0 0 0 0 0 0.0548737330212957 0 0 0
"rangeU-y" 0 0 0 0 0 0 0 0 0 0
"Minkowski" 0.061906141106589 0.0117410730523474 0.0621694452427363 0.00164959916425426 0.0664695028331821 0.0827638503060528 0.0170720821761581 0 0.0394024603048944 0.0281717447027711
"Manhattan" 0 0.151330290201963 0 0.171319111195452 0.132526617739353 0.0603104740207548 0.0449987235165413 0.12786843334619 0.0330419330961842 0
"globMaxU-y" 0 0 0 0 0 0 0 0 0 0
"flips-bivariate" 0 0 0 0 0 0 0 0 0 0
"globMax" 0 0 0 0 0 0 0 0 0 0
