"ensemble" "accuNCV"
NA NA
"1-2" 0.638766233766234
"1-2-3" 0.618831168831169
"1-2-3-4" 0.646071428571429
"1-2-3-4-5" 0.633311688311688
"1-2-3-4-5-6" 0.653311688311688
"1-2-3-4-5-6-7" 0.658896103896104
"1-2-3-4-5-6-7-8" 0.656980519480519
"1-2-3-4-5-6-7-8-9" 0.6625
"1-2-3-4-5-6-7-8-9-10" 0.669707792207792
"1-2-3-4-5-6-7-8-9-11" 0.671590909090909
"1-2-3-4-5-6-7-8-9-11-12" 0.671558441558442
"1-2-3-4-5-6-7-8-9-11-12-13" 0.658863636363636
"1-2-3-4-5-6-7-8-9-11-12-14" 0.682402597402597
"1-2-3-4-5-6-7-8-9-11-12-14-15" 0.682402597402597
"1-2-3-4-5-6-7-8-9-11-12-14-16" 0.682402597402597
"1-2-3-4-5-6-7-8-9-11-12-14-17" 0.684253246753247
"1-2-3-4-5-6-7-8-9-11-12-14-17-18" 0.669707792207792
"1-2-3-4-5-6-7-8-9-11-12-14-17-18-19" 0.696948051948052
"1-2-3-4-5-6-7-8-9-11-12-14-17-18-19-20" 0.691428571428571
"1-2-3-4-5-6-7-8-9-11-12-14-17-18-19-20-21" 0.682402597402597
"1-2-3-4-5-6-7-8-9-11-12-14-17-18-19-20-21-22" 0.684220779220779
"1-2-3-4-5-6-7-8-9-11-12-14-17-18-19-20-21-22-23" 0.662467532467532
"1-2-3-4-5-6-7-8-9-11-12-14-17-18-19-20-21-22-24" 0.678831168831169
