"ensemble" "accuNCV" "last"
"1-2" NA NA
"1-2" 0.65034693877551 1
"1-2-3" 0.659877551020408 1
"1-2-3-4" 0.668457142857143 1
"1-2-3-4-5" 0.670485714285714 1
"1-2-3-4-5-6" 0.677791836734694 1
"1-2-3-4-5-6-7" 0.683848979591837 1
"1-2-3-4-5-6-7-8" 0.68469387755102 1
"1-2-3-4-5-6-7-8-9" 0.689318367346939 1
"1-2-3-4-5-6-7-8-9-10" 0.687559183673469 0
"1-2-3-4-5-6-7-8-9-11" 0.693979591836735 1
"1-2-3-4-5-6-7-8-9-11-12" 0.693991836734694 1
"1-2-3-4-5-6-7-8-9-11-12-13" 0.687367346938776 0
"1-2-3-4-5-6-7-8-9-11-12-14" 0.694587755102041 1
"1-2-3-4-5-6-7-8-9-11-12-14-15" 0.693763265306122 0
"1-2-3-4-5-6-7-8-9-11-12-14-16" 0.693763265306122 0
"1-2-3-4-5-6-7-8-9-11-12-14-17" 0.696404081632653 1
"1-2-3-4-5-6-7-8-9-11-12-14-17-18" 0.697816326530612 1
"1-2-3-4-5-6-7-8-9-11-12-14-17-18-19" 0.6998 1
"1-2-3-4-5-6-7-8-9-11-12-14-17-18-19-20" 0.703828571428571 1
"1-2-3-4-5-6-7-8-9-11-12-14-17-18-19-20-21" 0.706673469387755 1
"1-2-3-4-5-6-7-8-9-11-12-14-17-18-19-20-21-22" 0.707926530612245 1
"1-2-3-4-5-6-7-8-9-11-12-14-17-18-19-20-21-22-23" 0.705877551020408 0
"1-2-3-4-5-6-7-8-9-11-12-14-17-18-19-20-21-22-24" 0.702628571428571 0
