"ensemble" "accuNCV"
NA NA
"1-2" 0.637012987012987
"1-2-3" 0.649805194805195
"1-2-3-4" 0.662467532467532
"1-2-3-5" 0.655227272727273
"1-2-3-5-6" 0.655097402597403
"1-2-3-5-6-7" 0.653344155844156
"1-2-3-5-6-8" 0.653344155844156
"1-2-3-5-6-9" 0.651525974025974
"1-2-3-5-6-10" 0.651525974025974
"1-2-3-5-6-11" 0.653311688311688
"1-2-3-5-6-11-12" 0.673311688311688
"1-2-3-5-6-11-12-13" 0.678701298701299
"1-2-3-5-6-11-12-13-14" 0.678636363636364
"1-2-3-5-6-11-12-13-14-15" 0.684285714285714
"1-2-3-5-6-11-12-13-14-15-16" 0.660551948051948
"1-2-3-5-6-11-12-13-14-15-17" 0.660551948051948
"1-2-3-5-6-11-12-13-14-15-18" 0.675064935064935
