"ensemble" "accuNCV" "last"
"1-2" NA NA
"1-2" 0.670204081632653 1
"1-2-3" 0.678277551020408 1
"1-2-3-4" 0.677310204081633 0
"1-2-3-5" 0.679926530612245 1
"1-2-3-5-6" 0.680567346938776 1
"1-2-3-5-6-7" 0.672677551020408 0
"1-2-3-5-6-8" 0.680302040816327 0
"1-2-3-5-6-9" 0.678685714285714 0
"1-2-3-5-6-10" 0.678685714285714 0
"1-2-3-5-6-11" 0.681281632653061 1
"1-2-3-5-6-11-12" 0.683963265306123 1
"1-2-3-5-6-11-12-13" 0.689775510204082 1
"1-2-3-5-6-11-12-13-14" 0.697048979591837 1
"1-2-3-5-6-11-12-13-14-15" 0.697461224489796 1
"1-2-3-5-6-11-12-13-14-15-16" 0.697048979591837 0
"1-2-3-5-6-11-12-13-14-15-17" 0.697048979591837 0
"1-2-3-5-6-11-12-13-14-15-18" 0.695383673469388 0
