"ensemble" "accuNCV"
NA NA
"1-2" 0.613376623376623
"1-2-3" 0.624448051948052
"1-2-4" 0.640746753246753
"1-2-4-5" 0.642564935064935
"1-2-4-5-6" 0.638928571428571
"1-2-4-5-6-7" 0.648019480519481
"1-2-4-5-6-8" 0.662305194805195
"1-2-4-5-6-9" 0.647987012987013
"1-2-4-5-6-9-10" 0.662337662337662
"1-2-4-5-6-9-11" 0.651590909090909
"1-2-4-5-6-9-11-12" 0.664253246753247
"1-2-4-5-6-9-11-12-13" 0.66237012987013
"1-2-4-5-6-9-11-12-14" 0.671590909090909
"1-2-4-5-6-9-11-12-15" 0.67512987012987
"1-2-4-5-6-9-11-12-15-16" 0.680584415584416
"1-2-4-5-6-9-11-12-15-16-17" 0.655162337662338
"1-2-4-5-6-9-11-12-15-16-18" 0.651688311688312
