"ensemble" "accuNCV" "last"
"1-2" NA NA
"1-2" 0.643714285714286 1
"1-2-3" 0.642710204081633 0
"1-2-4" 0.665734693877551 1
"1-2-4-5" 0.670791836734694 1
"1-2-4-5-6" 0.676481632653061 1
"1-2-4-5-6-7" 0.67545306122449 0
"1-2-4-5-6-8" 0.674114285714286 0
"1-2-4-5-6-9" 0.679322448979592 1
"1-2-4-5-6-9-10" 0.675077551020408 0
"1-2-4-5-6-9-11" 0.67990612244898 1
"1-2-4-5-6-9-11-12" 0.680057142857143 1
"1-2-4-5-6-9-11-12-13" 0.679424489795918 0
"1-2-4-5-6-9-11-12-14" 0.676824489795918 0
"1-2-4-5-6-9-11-12-15" 0.682836734693878 1
"1-2-4-5-6-9-11-12-15-16" 0.682865306122449 1
"1-2-4-5-6-9-11-12-15-16-17" 0.679269387755102 0
"1-2-4-5-6-9-11-12-15-16-18" 0.681236734693878 0
