"semimetric" "accuNCV"
NA NA
"Manhattan" 0.516599326599327
"Euclidean" 0.477979797979798
"mean" 0.467070707070707
"L3" 0.488956228956229
"L4" 0.467138047138047
"Frechet" 0.511346801346801
"Hausdorff" 0.472727272727273
"dtw" 0.511077441077441
"Levenshtein" 0.521919191919192
"Hamming" 0.54006734006734
"globMax" 0.492861952861953
"globMin" 0.498383838383838
"globMaxU-x" 0.494377104377104
"globMinU-x" 0.498383838383838
"globMaxU-y" 0.423468013468013
"globMinU-y" 0.498383838383838
"range" 0.492861952861953
"rangeU-x" 0.494377104377104
"rangeU-y" 0.423468013468013
"dcor" 0.490673400673401
"Aitchison" 0.50013468013468
