"semimetric" "accuNCV"
NA NA
"Manhattan" 0.498350168350168
"Euclidean" 0.476262626262626
"mean" 0.454545454545455
"L3" 0.483333333333333
"L4" 0.494175084175084
"Frechet" 0.498282828282828
"Hausdorff" 0.496228956228956
"dtw" 0.490942760942761
"Levenshtein" 0.545589225589226
"Hamming" 0.552861952861953
"globMax" 0.447171717171717
"globMin" 0.52013468013468
"globMaxU-x" 0.534882154882155
"globMinU-x" 0.496430976430976
"globMaxU-y" 0.45973063973064
"globMinU-y" 0.447070707070707
"range" 0.521481481481481
"rangeU-x" 0.481616161616162
"rangeU-y" 0.430740740740741
"dcor" 0.471077441077441
"Aitchison" 0.523905723905724
