"semimetric" "accuNCV"
NA NA
"Manhattan" 0.536980392156863
"Euclidean" 0.51678431372549
"mean" 0.486823529411765
"L3" 0.518862745098039
"L4" 0.52478431372549
"Frechet" 0.559019607843137
"Hausdorff" 0.552862745098039
"dtw" 0.714627450980392
"Levenshtein" 0.550588235294118
"Hamming" 0.554588235294118
"globMax" 0.506980392156863
"globMin" 0.70043137254902
"globMaxU-x" 0.54478431372549
"globMinU-x" 0.473098039215686
"globMaxU-y" 0.484862745098039
"globMinU-y" 0.704470588235294
"range" 0.616862745098039
"rangeU-x" 0.510941176470588
"rangeU-y" 0.60278431372549
"dcor" 0.506941176470588
"Aitchison" 0.509137254901961
