"semimetric" "accuNCV"
NA NA
"Manhattan" 0.503058823529412
"Euclidean" 0.509058823529412
"mean" 0.49921568627451
"L3" 0.503058823529412
"L4" 0.512901960784314
"Frechet" 0.50721568627451
"Hausdorff" 0.533019607843137
"dtw" 0.499058823529412
"Levenshtein" 0.518862745098039
"Hamming" 0.524823529411765
"globMax" 0.562901960784314
"globMin" 0.532823529411765
"globMaxU-x" 0.525019607843137
"globMinU-x" 0.504862745098039
"globMaxU-y" 0.493176470588235
"globMinU-y" 0.507058823529412
"range" 0.514980392156863
"rangeU-x" 0.483254901960784
"rangeU-y" 0.507019607843137
"dcor" 0.540980392156863
"Aitchison" 0.517098039215686
