"semimetric" "accuNCV"
NA NA
"Manhattan" 0.515454545454545
"Euclidean" 0.515357142857143
"mean" 0.577175324675325
"L3" 0.52974025974026
"L4" 0.48987012987013
"Frechet" 0.573441558441558
"Hausdorff" 0.577012987012987
"dtw" 0.524318181818182
"Levenshtein" 0.520844155844156
"Hamming" 0.528214285714286
"globMax" 0.553409090909091
"globMin" 0.513409090909091
"globMaxU-x" 0.548084415584416
"globMinU-x" 0.513409090909091
"globMaxU-y" 0.571720779220779
"globMinU-y" 0.513409090909091
"range" 0.553409090909091
"rangeU-x" 0.548084415584416
"rangeU-y" 0.571720779220779
"dcor" 0.511655844155844
"Aitchison" 0.540941558441558
