"semimetric" "accuNCV"
NA NA
"Manhattan" 0.555357142857143
"Euclidean" 0.546201298701299
"mean" 0.522662337662338
"L3" 0.544512987012987
"L4" 0.555454545454545
"Frechet" 0.533636363636364
"Hausdorff" 0.575292207792208
"dtw" 0.511590909090909
"Levenshtein" 0.513701298701299
"Hamming" 0.52275974025974
"globMax" 0.56974025974026
"globMin" 0.540909090909091
"globMaxU-x" 0.595162337662338
"globMinU-x" 0.515584415584416
"globMaxU-y" 0.604383116883117
"globMinU-y" 0.482662337662338
"range" 0.53538961038961
"rangeU-x" 0.537272727272727
"rangeU-y" 0.511818181818182
"dcor" 0.568116883116883
"Aitchison" 0.52461038961039
